module N1 (.d(d),.g(g),.s(s),.b(b));
  parameter real w=350.e-9;
  parameter real l=340.e-9;
  parameter integer nf=1;
  parameter real ad=0.0;
  parameter real pd=0.0;
  parameter real as=0.0;
  parameter real ps=0.0;
  parameter real sa=0.0;
  parameter real sb=0.0;
  parameter real sd=0.0;
  electrical d;
  electrical g;
  electrical s;
  electrical b;
  N1 #(.w(w),.l(l),.ng(nf)) M1 (.D(d),.G(g),.S(s),.B(b));
endmodule // N1

module P1 (.d(d),.g(g),.s(s),.b(b));
  parameter real w=350.e-9;
  parameter real l=280.e-9;
  parameter integer nf=1;
  parameter real ad=0.0;
  parameter real pd=0.0;
  parameter real as=0.0;
  parameter real ps=0.0;
  parameter real sa=0.0;
  parameter real sb=0.0;
  parameter real sd=0.0;
  electrical d;
  electrical g;
  electrical s;
  electrical b;
  P1 #(.w(w),.l(l),.ng(nf)) M1 (.D(d),.G(g),.S(s),.B(b));
endmodule // P1

parameter real vscale = 0.333333333;
//* MOSFET noise test
ground gnd;
N1 #(.l(0.09u),.w(10.0u)) M1 (.d(out),.g(g),.s(gnd),.b(gnd));
resistor #(.r(10k),.noisy(1.0)) RD (vdd, out);
vsource #(.dc(1.2)) Vdd (vdd, gnd);
vsource #(.dc(0.6)) Vg (g, gnd);
// Total noise power at the drain node
noise_probe #() n_out (out);
#              
 0.            
#Freq           npwr(n_out)   
 1.65958691E+3  81.95E-18     
 1.73780083E+3  78.328E-18    
 1.81970086E+3  74.87E-18     
 1.90546072E+3  71.568E-18    
 1.99526231E+3  68.414E-18    
 2.08929613E+3  65.402E-18    
 2.18776162E+3  62.525E-18    
 2.29086765E+3  59.778E-18    
 2.39883292E+3  57.155E-18    
 2.51188643E+3  54.65E-18     
 2.63026799E+3  52.257E-18    
 2.7542287E+3   49.972E-18    
 2.8840315E+3   47.79E-18     
 3.01995172E+3  45.707E-18    
 3.16227766E+3  43.717E-18    
 3.31131121E+3  41.816E-18    
 3.4673685E+3   40.001E-18    
 3.63078055E+3  38.268E-18    
 3.80189396E+3  36.613E-18    
 3.98107171E+3  35.032E-18    
 4.16869383E+3  33.522E-18    
 4.36515832E+3  32.081E-18    
 4.5708819E+3   30.704E-18    
 4.78630092E+3  29.389E-18    
 5.01187234E+3  28.134E-18    
 5.2480746E+3   26.935E-18    
 5.49540874E+3  25.789E-18    
 5.75439937E+3  24.696E-18    
 6.02559586E+3  23.652E-18    
 6.30957344E+3  22.654E-18    
 6.60693448E+3  21.702E-18    
 6.91830971E+3  20.792E-18    
 7.2443596E+3   19.923E-18    
 7.58577575E+3  19.094E-18    
 7.94328235E+3  18.302E-18    
 8.31763771E+3  17.545E-18    
 8.7096359E+3   16.822E-18    
 9.12010839E+3  16.132E-18    
 9.54992586E+3  15.474E-18    
 10.E+3         14.844E-18    
 10.4712855E+3  14.243E-18    
 10.964782E+3   13.669E-18    
 11.4815362E+3  13.121E-18    
 12.0226443E+3  12.598E-18    
 12.5892541E+3  12.098E-18    
 13.1825674E+3  11.621E-18    
 13.8038426E+3  11.165E-18    
 14.4543977E+3  10.729E-18    
 15.1356125E+3  10.314E-18    
 15.8489319E+3  9.916E-18     
 16.5958691E+3  9.537E-18     
 17.3780083E+3  9.175E-18     
 18.1970086E+3  8.829E-18     
 19.0546072E+3  8.499E-18     
 19.9526231E+3  8.184E-18     
 20.8929613E+3  7.882E-18     
 21.8776162E+3  7.595E-18     
 22.9086765E+3  7.32E-18      
 23.9883292E+3  7.058E-18     
 25.1188643E+3  6.807E-18     
 26.3026799E+3  6.568E-18     
 27.542287E+3   6.34E-18      
 28.840315E+3   6.121E-18     
 30.1995172E+3  5.913E-18     
 31.6227766E+3  5.714E-18     
 33.1131121E+3  5.524E-18     
 34.673685E+3   5.342E-18     
 36.3078055E+3  5.169E-18     
 38.0189396E+3  5.004E-18     
 39.8107171E+3  4.846E-18     
 41.6869383E+3  4.695E-18     
 43.6515832E+3  4.55E-18      
 45.708819E+3   4.413E-18     
 47.8630092E+3  4.281E-18     
 50.1187234E+3  4.156E-18     
 52.480746E+3   4.036E-18     
 54.9540874E+3  3.921E-18     
 57.5439937E+3  3.812E-18     
 60.2559586E+3  3.707E-18     
 63.0957344E+3  3.608E-18     
 66.0693448E+3  3.512E-18     
 69.1830971E+3  3.422E-18     
 72.443596E+3   3.335E-18     
 75.8577575E+3  3.252E-18     
 79.4328235E+3  3.172E-18     
 83.1763771E+3  3.097E-18     
 87.096359E+3   3.025E-18     
 91.2010839E+3  2.956E-18     
 95.4992586E+3  2.89E-18      
 100.E+3        2.827E-18     
 104.712855E+3  2.767E-18     
 109.64782E+3   2.709E-18     
 114.815362E+3  2.654E-18     
 120.226443E+3  2.602E-18     
 125.892541E+3  2.552E-18     
 131.825674E+3  2.504E-18     
 138.038426E+3  2.459E-18     
 144.543977E+3  2.415E-18     
 151.356125E+3  2.374E-18     
 158.489319E+3  2.334E-18     
 165.958691E+3  2.296E-18     
 173.780083E+3  2.26E-18      
 181.970086E+3  2.225E-18     
 190.546072E+3  2.192E-18     
 199.526231E+3  2.161E-18     
 208.929613E+3  2.131E-18     
 218.776162E+3  2.102E-18     
 229.086765E+3  2.074E-18     
 239.883292E+3  2.048E-18     
 251.188643E+3  2.023E-18     
 263.026799E+3  1.999E-18     
 275.42287E+3   1.976E-18     
 288.40315E+3   1.954E-18     
 301.995172E+3  1.934E-18     
 316.227766E+3  1.914E-18     
 331.131121E+3  1.895E-18     
 346.73685E+3   1.877E-18     
 363.078055E+3  1.859E-18     
 380.189396E+3  1.843E-18     
 398.107171E+3  1.827E-18     
 416.869383E+3  1.812E-18     
 436.515832E+3  1.797E-18     
 457.08819E+3   1.784E-18     
 478.630092E+3  1.77E-18      
 501.187234E+3  1.758E-18     
 524.80746E+3   1.746E-18     
 549.540874E+3  1.734E-18     
 575.439937E+3  1.724E-18     
 602.559586E+3  1.713E-18     
 630.957344E+3  1.703E-18     
 660.693448E+3  1.694E-18     
 691.830971E+3  1.684E-18     
 724.43596E+3   1.676E-18     
 758.577575E+3  1.667E-18     
 794.328235E+3  1.66E-18      
 831.763771E+3  1.652E-18     
 870.96359E+3   1.645E-18     
 912.010839E+3  1.638E-18     
 954.992586E+3  1.631E-18     
 1.E+6          1.625E-18     
