module N1 (.d(d),.g(g),.s(s),.b(b));
  parameter real w=350.e-9;
  parameter real l=340.e-9;
  parameter integer nf=1;
  parameter real ad=0.0;
  parameter real pd=0.0;
  parameter real as=0.0;
  parameter real ps=0.0;
  parameter real sa=0.0;
  parameter real sb=0.0;
  parameter real sd=0.0;
      electrical d, g, s, b;
  N1 #(.w(w),.l(l),.ng(nf)) M1 (.D(d),.G(g),.S(s),.B(b));
endmodule // N1

module P1 (.d(d),.g(g),.s(s),.b(b));
  parameter real w=350.e-9;
  parameter real l=280.e-9;
  parameter integer nf=1;
  parameter real ad=0.0;
  parameter real pd=0.0;
  parameter real as=0.0;
  parameter real ps=0.0;
  parameter real sa=0.0;
  parameter real sb=0.0;
  parameter real sd=0.0;
      electrical d, g, s, b;
  P1 #(.w(w),.l(l),.ng(nf)) M1 (.D(d),.G(g),.S(s),.B(b));
endmodule // P1

parameter real vscale = 0.333333333; 
ground gnd;
N1 #(.l(0.09u),.w(10.0u)) M1 (.d(out),.g(g),.s(gnd),.b(gnd));
resistor #(.r(10k),.noisy(1.0)) RD (.p(vdd),.n(out));
vsource #(.dc(1.2)) Vdd (.p(vdd),.n(gnd));
vsource #(.dc(0.6)) Vg (.p(g),.n(gnd));
// Total noise power at the drain node
meas_noise #() n_out (.p(out));
#              
 0.            
#Freq           npwr(n_out)   
 1.81970086E+3  58.85E-18     
 1.90546072E+3  56.249E-18    
 1.99526231E+3  53.766E-18    
 2.08929613E+3  51.394E-18    
 2.18776162E+3  49.128E-18    
 2.29086765E+3  46.965E-18    
 2.39883292E+3  44.899E-18    
 2.51188643E+3  42.926E-18    
 2.63026799E+3  41.042E-18    
 2.7542287E+3   39.243E-18    
 2.8840315E+3   37.524E-18    
 3.01995172E+3  35.883E-18    
 3.16227766E+3  34.316E-18    
 3.31131121E+3  32.819E-18    
 3.4673685E+3   31.39E-18     
 3.63078055E+3  30.025E-18    
 3.80189396E+3  28.722E-18    
 3.98107171E+3  27.477E-18    
 4.16869383E+3  26.288E-18    
 4.36515832E+3  25.153E-18    
 4.5708819E+3   24.069E-18    
 4.78630092E+3  23.033E-18    
 5.01187234E+3  22.044E-18    
 5.2480746E+3   21.1E-18      
 5.49540874E+3  20.198E-18    
 5.75439937E+3  19.337E-18    
 6.02559586E+3  18.514E-18    
 6.30957344E+3  17.729E-18    
 6.60693448E+3  16.979E-18    
 6.91830971E+3  16.263E-18    
 7.2443596E+3   15.578E-18    
 7.58577575E+3  14.925E-18    
 7.94328235E+3  14.301E-18    
 8.31763771E+3  13.705E-18    
 8.7096359E+3   13.136E-18    
 9.12010839E+3  12.593E-18    
 9.54992586E+3  12.074E-18    
 10.E+3         11.579E-18    
 10.4712855E+3  11.105E-18    
 10.964782E+3   10.653E-18    
 11.4815362E+3  10.222E-18    
 12.0226443E+3  9.809E-18     
 12.5892541E+3  9.416E-18     
 13.1825674E+3  9.04E-18      
 13.8038426E+3  8.681E-18     
 14.4543977E+3  8.338E-18     
 15.1356125E+3  8.011E-18     
 15.8489319E+3  7.698E-18     
 16.5958691E+3  7.399E-18     
 17.3780083E+3  7.114E-18     
