parameter real vscale = 0.66666666; 
ground gnd;
N1 #(.l(0.09u),.w(10.0u)) M1 (.d(out),.g(g),.s(gnd),.b(gnd));
resistor #(.r(10k),.noisy(1.0)) RD (.p(vdd),.n(out));
vsource #(.dc(1.2)) Vdd (.p(vdd),.n(gnd));
vsource #(.dc(0.6)) Vg (.p(g),.n(gnd));
// Total noise power at the drain node
meas_noise #() n_out (.p(out));
#              
 0.            
#Freq           npwr(n_out)   
 6.30957344E+3  7.466E-18     
 6.60693448E+3  7.288E-18     
 6.91830971E+3  7.118E-18     
 7.2443596E+3   6.955E-18     
 7.58577575E+3  6.8E-18       
 7.94328235E+3  6.652E-18     
 8.31763771E+3  6.51E-18      
 8.7096359E+3   6.375E-18     
 9.12010839E+3  6.246E-18     
 9.54992586E+3  6.123E-18     
 10.E+3         6.005E-18     
 10.4712855E+3  5.893E-18     
 10.964782E+3   5.786E-18     
 11.4815362E+3  5.683E-18     
 12.0226443E+3  5.585E-18     
 12.5892541E+3  5.492E-18     
 13.1825674E+3  5.403E-18     
 13.8038426E+3  5.317E-18     
 14.4543977E+3  5.236E-18     
 15.1356125E+3  5.158E-18     
 15.8489319E+3  5.084E-18     
 16.5958691E+3  5.013E-18     
 17.3780083E+3  4.945E-18     
 18.1970086E+3  4.881E-18     
 19.0546072E+3  4.819E-18     
 19.9526231E+3  4.76E-18      
 20.8929613E+3  4.703E-18     
 21.8776162E+3  4.65E-18      
 22.9086765E+3  4.598E-18     
 23.9883292E+3  4.549E-18     
 25.1188643E+3  4.502E-18     
 26.3026799E+3  4.458E-18     
 27.542287E+3   4.415E-18     
 28.840315E+3   4.374E-18     
 30.1995172E+3  4.335E-18     
 31.6227766E+3  4.298E-18     
 33.1131121E+3  4.262E-18     
 34.673685E+3   4.228E-18     
 36.3078055E+3  4.196E-18     
 38.0189396E+3  4.165E-18     
 39.8107171E+3  4.136E-18     
 41.6869383E+3  4.107E-18     
 43.6515832E+3  4.08E-18      
 45.708819E+3   4.055E-18     
 47.8630092E+3  4.03E-18      
 50.1187234E+3  4.007E-18     
 52.480746E+3   3.984E-18     
 54.9540874E+3  3.963E-18     
 57.5439937E+3  3.942E-18     
 60.2559586E+3  3.923E-18     
 63.0957344E+3  3.904E-18     
 66.0693448E+3  3.886E-18     
 69.1830971E+3  3.869E-18     
 72.443596E+3   3.853E-18     
 75.8577575E+3  3.837E-18     
 79.4328235E+3  3.823E-18     
 83.1763771E+3  3.809E-18     
 87.096359E+3   3.795E-18     
 91.2010839E+3  3.782E-18     
 95.4992586E+3  3.77E-18      
 100.E+3        3.758E-18     
 104.712855E+3  3.747E-18     
 109.64782E+3   3.736E-18     
 114.815362E+3  3.726E-18     
 120.226443E+3  3.716E-18     
 125.892541E+3  3.707E-18     
 131.825674E+3  3.698E-18     
 138.038426E+3  3.689E-18     
 144.543977E+3  3.681E-18     
 151.356125E+3  3.673E-18     
 158.489319E+3  3.666E-18     
 165.958691E+3  3.659E-18     
 173.780083E+3  3.652E-18     
 181.970086E+3  3.646E-18     
 190.546072E+3  3.639E-18     
 199.526231E+3  3.633E-18     
 208.929613E+3  3.628E-18     
 218.776162E+3  3.622E-18     
 229.086765E+3  3.617E-18     
 239.883292E+3  3.612E-18     
 251.188643E+3  3.608E-18     
 263.026799E+3  3.603E-18     
 275.42287E+3   3.599E-18     
 288.40315E+3   3.595E-18     
 301.995172E+3  3.591E-18     
 316.227766E+3  3.587E-18     
 331.131121E+3  3.584E-18     
 346.73685E+3   3.58E-18      
 363.078055E+3  3.577E-18     
 380.189396E+3  3.574E-18     
 398.107171E+3  3.571E-18     
 416.869383E+3  3.568E-18     
 436.515832E+3  3.565E-18     
 457.08819E+3   3.563E-18     
 478.630092E+3  3.56E-18      
 501.187234E+3  3.558E-18     
 524.80746E+3   3.556E-18     
 549.540874E+3  3.554E-18     
 575.439937E+3  3.552E-18     
 602.559586E+3  3.55E-18      
 630.957344E+3  3.548E-18     
 660.693448E+3  3.546E-18     
 691.830971E+3  3.544E-18     
 724.43596E+3   3.543E-18     
 758.577575E+3  3.541E-18     
 794.328235E+3  3.54E-18      
 831.763771E+3  3.538E-18     
 870.96359E+3   3.537E-18     
 912.010839E+3  3.536E-18     
 954.992586E+3  3.534E-18     
 1.E+6          3.533E-18     
